Date,Weight (kg),Equally Favoured Casual Playing Games Played,Equally Favoured Casual Playing Games Won,Equally Favoured Practice Match Games Played,Equally Favoured Practice Match Games Won,Equally Favoured Tournament Match Games Played,Equally Favoured Tournament Match Games Won,Favoured Casual Playing Games Played,Favoured Casual Playing Games Won,Favoured Practice Match Games Played,Favoured Practice Match Games Won,Favoured Tournament Match Games Played,Favoured Tournament Match Games Won,Unfavoured Casual Playing Games Played,Unfavoured Casual Playing Games Won,Unfavoured Practice Match Games Played,Unfavoured Practice Match Games Won,Unfavoured Tournament Match Games Played,Unfavoured Tournament Match Games Won,Very Favoured Casual Playing Games Played,Very Favoured Casual Playing Games Won,Very Favoured Practice Match Games Played,Very Favoured Practice Match Games Won,Very Unfavoured Casual Playing Games Played,Very Unfavoured Casual Playing Games Won,Very Unfavoured Practice Match Games Played,Very Unfavoured Practice Match Games Won,Very Unfavoured Tournament Match Games Played,Very Unfavoured Tournament Match Games Won,Unpredictable Casual Playing Games Played,Unpredictable Casual Playing Games Won,Unpredictable Practice Match Games Played,Unpredictable Practice Match Games Won,Unpredictable Tournament Match Games Played,Unpredictable Tournament Match Games Won,Equally Favoured Casual Playing Duration (min),Equally Favoured Casual Playing Intensity (1-5),Equally Favoured Practice Match Duration (min),Equally Favoured Practice Match Intensity (1-5),Equally Favoured Tournament Match Duration (min),Equally Favoured Tournament Match Intensity (1-5),Favoured Casual Playing Duration (min),Favoured Casual Playing Intensity (1-5),Favoured Practice Match Duration (min),Favoured Practice Match Intensity (1-5),Favoured Tournament Match Duration (min),Favoured Tournament Match Intensity (1-5),Unfavoured Casual Playing Duration (min),Unfavoured Casual Playing Intensity (1-5),Unfavoured Practice Match Duration (min),Unfavoured Practice Match Intensity (1-5),Unfavoured Tournament Match Duration (min),Unfavoured Tournament Match Intensity (1-5),Very Favoured Casual Playing Duration (min),Very Favoured Casual Playing Intensity (1-5),Very Favoured Practice Match Duration (min),Very Favoured Practice Match Intensity (1-5),Very Unfavoured Casual Playing Duration (min),Very Unfavoured Casual Playing Intensity (1-5),Very Unfavoured Practice Match Duration (min),Very Unfavoured Practice Match Intensity (1-5),Very Unfavoured Tournament Match Duration (min),Very Unfavoured Tournament Match Intensity (1-5),Unpredictable Casual Playing Duration (min),Unpredictable Casual Playing Intensity (1-5),Unpredictable Practice Match Duration (min),Unpredictable Practice Match Intensity (1-5),Unpredictable Tournament Match Duration (min),Unpredictable Tournament Match Intensity (1-5),Bike Duration (min),Bike Intensity (1-5),Coached Session Duration (min),Coached Session Intensity (1-5),Full Body Duration (min),Full Body Intensity (1-5),Ghosting Duration (min),Ghosting Intensity (1-5),On Court Drills Duration (min),On Court Drills Intensity (1-5),Padel Drills Duration (min),Padel Drills Intensity (1-5),Padel Games Duration (min),Padel Games Intensity (1-5),Padel Training Duration (min),Padel Training Intensity (1-5),Running Duration (min),Running Intensity (1-5),Woodchop Duration (min),Woodchop Intensity (1-5)
2019-09-15,71.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-16,72,,,,,,,1,0,,,,,,,,,,,3,3,3,0,,,,,,,,,,,,,,,,,,,10,5,,,,,,,,,,,20,4,30,5,,,,,,,,,,,,,,,,,15,3,,,25,3,,,,,,,,,,
2019-09-17,71.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,4,,,15,4,,,,,,,,,,,,
2019-09-18,71.9,,,,,,,,,,,,,2,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,5,30,5,,,,,,,,,,,,,,,,,,,,,,,,,,,20,3,,,,,,,,,,
2019-09-19,71.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,4,,,10,4,20,3,,,,,,,,,,
2019-09-20,71.7,,,,,,,,,,,,,3,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,5,30,5,,,,,,,,,,,,,,,,,,,,,,,15,3,,,20,3,,,,,,,,,,
2019-09-21,72.2,,,,,,,,,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3,,,15,2,,,,,,,,,,
2019-09-22,72.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-23,73.2,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3,,,40,3.25,,,,,,,,,,
2019-09-24,72.7,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,5,,,,,,,,,,,,,,,,,,,,,,,45,4,,,10,4,30,4,,,,,,,15,4,,
2019-09-25,71.9,,,,,,,,,,,,,2,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,5,40,5,,,,,,,,,,,,,,,,,,,,,,,10,3,,,,,,,,,,,,,,
2019-09-26,71.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,4,,,15,4,,,,,,,,,,,,
2019-09-27,71.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,3,,,,,,,,,,
2019-09-28,73.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,4.518518518518519,,,,,,,,,,,,,,,,,,,,
2019-09-29,71.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,3,,
2019-09-30,72.5,,,,,,,,,4,3,,,,,,,,,2,2,,,,,,,,,3,3,,,,,,,,,,,,,40,5,,,,,,,,,15,3,,,,,,,,,25,4,,,,,,,,,15,4,,,,,,,,,,,,,,
2019-10-01,72.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,4,,,10,4,,,,,,,,,10,4,,
2019-10-02,72.6,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,4,,,,,,,,,,,,,,
2019-10-03,72.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,4,,,10,4,,,,,,,,,15,5,,
2019-10-04,72.6,,,,,,,,,,,,,4,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,5,40,5,,,,,,,,,,,,,,,,,,,,,,,30,3,,,,,,,,,,,,,,
2019-10-05,72.6,,,,,,,3,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,5,30,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,4,,,20,3,,,,,,,,,,
2019-10-06,73.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,4,,
2019-10-07,73.6,,,,,,,,,,,,,,,3,0,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,25,5,,,,,,,15,5,,,,,,,,,,,,,,,30,4,,,,,,,,,,,,,,
2019-10-08,73.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-09,73.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,4,,,15,4,10,3,,,,,,,,,,
2019-10-10,73.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,5,,,,,,,45,4,,,10,4,,,,,,,,,,,,
2019-10-11,71.9,,,,,,,,,,,,,,,,,,,,,,,3,1,3,0,,,1,1,5,3,,,,,,,,,,,,,,,,,,,,,,,,,20,5,30,5,,,10,5,40,5,,,,,,,30,4,,,15,3,,,,,,,,,,
2019-10-12,71.2,2,0,,,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,10,5,,,,,,,30,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,4,,,,,,,,,,,,,,
2019-10-13,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-14,73.8,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,4,,,,,,,,,,,,,,
2019-10-15,73.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,4,,,10,3,,,,,,,,,,,,
2019-10-16,73.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,5,,,30,4,,,,,,,,,,,,,,
